Kind,Name,CountLineCode,MaxCyclomatic,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclMethodAll,CountDeclInstanceMethod,MaxInheritanceTree,CountDeclMethod,CountDeclInstanceVariable,PercentLackOfCohesion
File,"FactoryChild.java",3,0,,,,,0,,0,0,
File,"FactoryClassWithFailedBeforeClassMethod.java",11,1,,,,,1,,1,0,
File,"FactoryClassWithFailedBeforeMethod.java",11,1,,,,,1,,1,0,
File,"FactoryDataProviderSampleTest.java",17,1,,,,,1,,2,0,
File,"FactoryDataProviderStaticSampleErrorTest.java",16,1,,,,,2,,2,0,
File,"FactoryDataProviderStaticSampleTest.java",8,1,,,,,1,,1,0,
File,"FactoryDataProviderTest.java",40,1,,,,,5,,5,0,
File,"FactoryDataProviderWithNoArgCtorSampleErrorTest.java",19,1,,,,,3,,3,0,
File,"FactoryFailureSampleTest.java",12,1,,,,,2,,2,0,
File,"FactoryFailureTest.java",17,2,,,,,1,,1,0,
File,"FactoryInSeparateClass.java",33,1,,,,,3,,5,0,
File,"FactoryInSuperClassTest.java",16,1,,,,,1,,1,0,
File,"FactoryInterleavingSampleA.java",33,1,,,,,7,,7,1,
File,"FactoryInterleavingSampleFactory.java",15,1,,,,,2,,2,0,
File,"FactoryInterleavingTest.java",26,1,,,,,1,,1,0,
File,"FactoryMethod.java",80,5,,,,,3,,4,3,
File,"FactoryOrderMainTest.java",21,2,,,,,1,,1,0,
File,"FactoryOrderSampleTest.java",32,1,,,,,7,,7,1,
File,"FactoryOrderTest.java",19,2,,,,,1,,2,0,
File,"FactorySampleTest.java",13,1,,,,,1,,1,0,
File,"FactoryTest.java",27,1,,,,,2,,3,0,
File,"FactoryTest.java",25,2,,,,,3,,3,1,
File,"FactoryTest.java",38,2,,,,,5,,5,0,
File,"FactoryTest2.java",29,1,,,,,4,,6,1,
File,"FactoryTransformer.java",27,1,,,,,4,,4,0,
File,"FactoryWithDataProvider.java",25,2,,,,,2,,3,0,
File,"FactoryWithDataProviderTest.java",20,1,,,,,1,,2,0,
File,"FactoryWithInstanceInfoTest.java",31,1,,,,,2,,3,0,
File,"FactoryWithInstanceInfoTest2.java",25,1,,,,,3,,5,1,
File,"FailedDPTest.java",54,3,,,,,5,,5,1,
File,"FailedDataProviderSample.java",20,2,,,,,2,,2,0,
File,"FailedDataProviderTest.java",38,1,,,,,3,,3,0,
File,"FailedInvocationCount.java",16,2,,,,,2,,2,1,
File,"FailedInvocationCount2.java",24,2,,,,,3,,3,2,
File,"FailedInvocationCountTest.java",41,1,,,,,4,,4,0,
File,"FailedReporter.java",159,12,,,,,9,,10,1,
File,"FailedReporter2SampleTest.java",19,2,,,,,2,,2,0,
File,"FailedReporterSampleTest.java",16,1,,,,,3,,3,0,
File,"FailedReporterTest.java",47,2,,,,,5,,5,1,
