Kind,Name,CountLineCode,MaxCyclomatic,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclMethodAll,CountDeclInstanceMethod,MaxInheritanceTree,CountDeclMethod,CountDeclInstanceVariable,PercentLackOfCohesion
File,"ClassWithFailedBeforeClassMethodAndAfterClass.java",14,1,,,,,3,,3,0,
File,"ClassWithFailedBeforeClassMethodAndBeforeGroupsAfterClassAfterGroups.java",20,1,,,,,5,,5,0,
File,"ClassWithFailedBeforeClassMethodAndBeforeMethodAfterMethodAfterClass.java",20,1,,,,,5,,5,0,
File,"ClassWithFailedBeforeMethod.java",11,1,,,,,2,,2,0,
File,"ClassWithFailedBeforeMethodAndMultipleInvocations.java",18,1,,,,,4,,4,0,
File,"ClassWithFailedBeforeMethodAndMultipleTests.java",13,1,,,,,3,,3,0,
File,"ClassWithFailedBeforeSuite.java",8,1,,,,,1,,1,0,
File,"ClassWithFailedBeforeSuiteVerification.java",18,1,,,,,2,,3,0,
File,"ClassWithFailedBeforeTestClass.java",11,1,,,,,2,,2,0,
File,"ClassWithFailedBeforeTestClassVerification.java",21,1,,,,,3,,4,0,
File,"ClassWithManyMethodsSample.java",18,1,,,,,4,,4,0,
File,"ClassWithSkippingBeforeMethod.java",18,2,,,,,3,,3,1,
File,"CliTest.java",69,1,,,,,6,,6,0,
File,"ClonedMethod.java",285,1,,,,,70,,70,7,
File,"CollectionUtils.java",16,1,,,,,1,,4,0,
File,"CombinedTestAndObjectFactorySample.java",31,3,,,,,3,,3,1,
File,"CombinedTestAndObjectFactoryTest.java",19,1,,,,,1,,1,0,
File,"CommandLineArgs.java",179,0,,,,,0,,0,37,
File,"CommandLineOverridesXml.java",95,3,,,,,7,,9,0,
File,"CommandLineTest.java",151,2,,,,,8,,9,0,
File,"CommandLineTest.java",155,1,,,,,12,,12,4,
File,"CommentDisabledXmlWeaver.java",6,1,,,,,1,,1,0,
File,"CommonBaseClass.java",14,1,,,,,0,,1,0,
File,"ComparisonCriteria.java",46,7,,,,,4,,4,0,
File,"CompiledCode.java",25,1,,,,,4,,4,3,
File,"ComplexDataProviderWithObjectAndArraySample.java",21,1,,,,,2,,2,0,
File,"Concrete.java",2,0,,,,,0,,0,0,
File,"ConcreteTest.java",11,1,,,,,2,,2,0,
File,"Config.java",8,1,,,,,1,,1,0,
File,"ConfigAwareTestNG.java",9,1,,,,,1,,1,0,
File,"ConfigInvoker.java",483,14,,,,,17,,21,4,
File,"ConfigListener.java",14,1,,,,,3,,3,0,
File,"ConfigListener.java",28,1,,,,,5,,5,1,
File,"ConfigMethodArguments.java",111,2,,,,,19,,19,12,
File,"ConfigurableFailureSample.java",13,1,,,,,2,,2,0,
File,"ConfigurableSuccessSample.java",16,1,,,,,2,,2,0,
File,"ConfigurableSuccessWithListenerSample.java",29,1,,,,,6,,6,0,
File,"Configuration.java",129,1,,,,,25,,25,11,
File,"ConfigurationAndDataProvidersSample.java",41,1,,,,,6,,6,4,
File,"ConfigurationAnnotation.java",158,1,,,,,37,,37,18,
File,"ConfigurationBaseTest.java",23,1,,,,,1,,1,0,
File,"ConfigurationDisabledSampleTest.java",19,1,,,,,4,,4,0,
File,"ConfigurationFailure.java",41,1,,,,,3,,4,0,
File,"ConfigurationGroupBothSampleTest.java",38,1,,,,,4,,5,0,
File,"ConfigurationGroupDataProviderSampleTest.java",32,1,,,,,4,,4,0,
File,"ConfigurationGroupInvocationCountSampleTest.java",27,1,,,,,3,,3,0,
File,"ConfigurationGroupIteratorDataProviderSampleTest.java",34,1,,,,,4,,4,0,
File,"ConfigurationGroupMethods.java",92,4,,,,,9,,10,6,
File,"ConfigurationGroups1SampleTest.java",32,1,,,,,5,,5,3,
File,"ConfigurationGroups2SampleTest.java",45,1,,,,,6,,6,4,
File,"ConfigurationGroups3SampleTest.java",41,1,,,,,5,,6,2,
File,"ConfigurationGroups4SampleTest.java",26,1,,,,,4,,4,2,
File,"ConfigurationGroups5SampleTest.java",42,2,,,,,5,,5,4,
File,"ConfigurationGroups6SampleTest.java",34,1,,,,,5,,5,3,
File,"ConfigurationGroups7SampleTest.java",31,1,,,,,5,,5,1,
File,"ConfigurationGroups8SampleTest.java",34,1,,,,,6,,6,1,
File,"ConfigurationGroupsTest.java",55,1,,,,,5,,5,0,
File,"ConfigurationInheritGroupsSampleTest.java",15,1,,,,,2,,2,1,
File,"ConfigurationListenerFailSampleTest.java",11,1,,,,,2,,2,0,
File,"ConfigurationListenerSampleTest.java",24,1,,,,,3,,3,0,
File,"ConfigurationListenerSkipSampleTest.java",13,1,,,,,3,,3,0,
File,"ConfigurationListenerSucceedSampleTest.java",9,1,,,,,2,,2,0,
File,"ConfigurationListenerTest.java",14,1,,,,,1,,1,0,
File,"ConfigurationListenerTest.java",48,1,,,,,8,,8,0,
File,"ConfigurationMethod.java",486,19,,,,,21,,28,12,
File,"ConfigurationSampleTest.java",24,1,,,,,4,,5,0,
File,"ConfigurationSkippedExceptionTest.java",12,1,,,,,2,,2,0,
File,"ConfigurationTest.java",23,1,,,,,3,,3,0,
File,"ConfigurationTestSample.java",86,1,,,,,7,,7,6,
File,"ConfigurationTransformer.java",30,2,,,,,4,,4,0,
File,"ConfigurationWithParameters.java",18,1,,,,,2,,2,1,
File,"ConsoleReporter.java",37,6,,,,,1,,1,0,
File,"Constants.java",60,0,,,,,0,,0,31,
File,"ConstructorFactorySample.java",22,1,,,,,2,,3,1,
File,"ConstructorInjectionProvider.java",15,1,,,,,2,,2,1,
File,"ConstructorOrMethod.java",77,3,,,,,15,,15,3,
File,"ConstructorOrMethodSample.java",39,1,,,,,4,,5,1,
File,"ConstructorSample.java",28,1,,,,,2,,3,1,
File,"ContainerTest.java",14,1,,,,,2,,2,0,
